images,boxes,minimasks,rpn_match,rpn_bbox,names,embryos,instance_nbs,typicals,labels
/data/icar/gdavid/Embryo3D/images/Nestor_t023_a12.tiff,/data/icar/gdavid/Embryo3D/boxes/Nestor_t023_a12.dat,/data/icar/gdavid/Embryo3D/minimasks/Nestor_t023_a12.pickle,/data/icar/gdavid/Embryo3D/rpn_match/Nestor_t023_a12.npy,/data/icar/gdavid/Embryo3D/rpn_bbox/Nestor_t023_a12.npy,Nestor_t023_a12,Nestor,86.0,40.12456296352594,0.0
/data/icar/gdavid/Embryo3D/images/Nestor_t023_a13.tiff,/data/icar/gdavid/Embryo3D/boxes/Nestor_t023_a13.dat,/data/icar/gdavid/Embryo3D/minimasks/Nestor_t023_a13.pickle,/data/icar/gdavid/Embryo3D/rpn_match/Nestor_t023_a13.npy,/data/icar/gdavid/Embryo3D/rpn_bbox/Nestor_t023_a13.npy,Nestor_t023_a13,Nestor,86.0,40.12456296352594,0.0
/data/icar/gdavid/Embryo3D/images/Nestor_t023_a73.tiff,/data/icar/gdavid/Embryo3D/boxes/Nestor_t023_a73.dat,/data/icar/gdavid/Embryo3D/minimasks/Nestor_t023_a73.pickle,/data/icar/gdavid/Embryo3D/rpn_match/Nestor_t023_a73.npy,/data/icar/gdavid/Embryo3D/rpn_bbox/Nestor_t023_a73.npy,Nestor_t023_a73,Nestor,86.0,40.12456296352594,0.0
/data/icar/gdavid/Embryo3D/images/Nestor_t023_a64.tiff,/data/icar/gdavid/Embryo3D/boxes/Nestor_t023_a64.dat,/data/icar/gdavid/Embryo3D/minimasks/Nestor_t023_a64.pickle,/data/icar/gdavid/Embryo3D/rpn_match/Nestor_t023_a64.npy,/data/icar/gdavid/Embryo3D/rpn_bbox/Nestor_t023_a64.npy,Nestor_t023_a64,Nestor,86.0,40.12456296352594,0.0
/data/icar/gdavid/Embryo3D/images/Nestor_t023_a55.tiff,/data/icar/gdavid/Embryo3D/boxes/Nestor_t023_a55.dat,/data/icar/gdavid/Embryo3D/minimasks/Nestor_t023_a55.pickle,/data/icar/gdavid/Embryo3D/rpn_match/Nestor_t023_a55.npy,/data/icar/gdavid/Embryo3D/rpn_bbox/Nestor_t023_a55.npy,Nestor_t023_a55,Nestor,86.0,40.12456296352594,0.0
/data/icar/gdavid/Embryo3D/images/Nestor_t023_a54.tiff,/data/icar/gdavid/Embryo3D/boxes/Nestor_t023_a54.dat,/data/icar/gdavid/Embryo3D/minimasks/Nestor_t023_a54.pickle,/data/icar/gdavid/Embryo3D/rpn_match/Nestor_t023_a54.npy,/data/icar/gdavid/Embryo3D/rpn_bbox/Nestor_t023_a54.npy,Nestor_t023_a54,Nestor,86.0,40.12456296352594,0.0
/data/icar/gdavid/Embryo3D/images/Nestor_t023_a35.tiff,/data/icar/gdavid/Embryo3D/boxes/Nestor_t023_a35.dat,/data/icar/gdavid/Embryo3D/minimasks/Nestor_t023_a35.pickle,/data/icar/gdavid/Embryo3D/rpn_match/Nestor_t023_a35.npy,/data/icar/gdavid/Embryo3D/rpn_bbox/Nestor_t023_a35.npy,Nestor_t023_a35,Nestor,86.0,40.12456296352594,0.0
/data/icar/gdavid/Embryo3D/images/Nestor_t023_a23.tiff,/data/icar/gdavid/Embryo3D/boxes/Nestor_t023_a23.dat,/data/icar/gdavid/Embryo3D/minimasks/Nestor_t023_a23.pickle,/data/icar/gdavid/Embryo3D/rpn_match/Nestor_t023_a23.npy,/data/icar/gdavid/Embryo3D/rpn_bbox/Nestor_t023_a23.npy,Nestor_t023_a23,Nestor,86.0,40.12456296352594,0.0
/data/icar/gdavid/Embryo3D/images/Nestor_t023_a34.tiff,/data/icar/gdavid/Embryo3D/boxes/Nestor_t023_a34.dat,/data/icar/gdavid/Embryo3D/minimasks/Nestor_t023_a34.pickle,/data/icar/gdavid/Embryo3D/rpn_match/Nestor_t023_a34.npy,/data/icar/gdavid/Embryo3D/rpn_bbox/Nestor_t023_a34.npy,Nestor_t023_a34,Nestor,86.0,40.12456296352594,0.0
/data/icar/gdavid/Embryo3D/images/Nestor_t023_a30.tiff,/data/icar/gdavid/Embryo3D/boxes/Nestor_t023_a30.dat,/data/icar/gdavid/Embryo3D/minimasks/Nestor_t023_a30.pickle,/data/icar/gdavid/Embryo3D/rpn_match/Nestor_t023_a30.npy,/data/icar/gdavid/Embryo3D/rpn_bbox/Nestor_t023_a30.npy,Nestor_t023_a30,Nestor,86.0,40.12456296352594,0.0
/data/icar/gdavid/Embryo3D/images/Nestor_t023_a70.tiff,/data/icar/gdavid/Embryo3D/boxes/Nestor_t023_a70.dat,/data/icar/gdavid/Embryo3D/minimasks/Nestor_t023_a70.pickle,/data/icar/gdavid/Embryo3D/rpn_match/Nestor_t023_a70.npy,/data/icar/gdavid/Embryo3D/rpn_bbox/Nestor_t023_a70.npy,Nestor_t023_a70,Nestor,86.0,40.12456296352594,0.0
/data/icar/gdavid/Embryo3D/images/Nestor_t023_a50.tiff,/data/icar/gdavid/Embryo3D/boxes/Nestor_t023_a50.dat,/data/icar/gdavid/Embryo3D/minimasks/Nestor_t023_a50.pickle,/data/icar/gdavid/Embryo3D/rpn_match/Nestor_t023_a50.npy,/data/icar/gdavid/Embryo3D/rpn_bbox/Nestor_t023_a50.npy,Nestor_t023_a50,Nestor,86.0,40.12456296352594,0.0
/data/icar/gdavid/Embryo3D/images/Samson_t058_a22.tiff,/data/icar/gdavid/Embryo3D/boxes/Samson_t058_a22.dat,/data/icar/gdavid/Embryo3D/minimasks/Samson_t058_a22.pickle,/data/icar/gdavid/Embryo3D/rpn_match/Samson_t058_a22.npy,/data/icar/gdavid/Embryo3D/rpn_bbox/Samson_t058_a22.npy,Samson_t058_a22,Samson,217.0,29.290265918712983,0.0
/data/icar/gdavid/Embryo3D/images/Samson_t058_a50.tiff,/data/icar/gdavid/Embryo3D/boxes/Samson_t058_a50.dat,/data/icar/gdavid/Embryo3D/minimasks/Samson_t058_a50.pickle,/data/icar/gdavid/Embryo3D/rpn_match/Samson_t058_a50.npy,/data/icar/gdavid/Embryo3D/rpn_bbox/Samson_t058_a50.npy,Samson_t058_a50,Samson,217.0,29.290265918712983,0.0
/data/icar/gdavid/Embryo3D/images/Samson_t058_a70.tiff,/data/icar/gdavid/Embryo3D/boxes/Samson_t058_a70.dat,/data/icar/gdavid/Embryo3D/minimasks/Samson_t058_a70.pickle,/data/icar/gdavid/Embryo3D/rpn_match/Samson_t058_a70.npy,/data/icar/gdavid/Embryo3D/rpn_bbox/Samson_t058_a70.npy,Samson_t058_a70,Samson,217.0,29.290265918712983,0.0
/data/icar/gdavid/Embryo3D/images/Samson_t058_a12.tiff,/data/icar/gdavid/Embryo3D/boxes/Samson_t058_a12.dat,/data/icar/gdavid/Embryo3D/minimasks/Samson_t058_a12.pickle,/data/icar/gdavid/Embryo3D/rpn_match/Samson_t058_a12.npy,/data/icar/gdavid/Embryo3D/rpn_bbox/Samson_t058_a12.npy,Samson_t058_a12,Samson,217.0,29.290265918712983,0.0
/data/icar/gdavid/Embryo3D/images/Samson_t058_a60.tiff,/data/icar/gdavid/Embryo3D/boxes/Samson_t058_a60.dat,/data/icar/gdavid/Embryo3D/minimasks/Samson_t058_a60.pickle,/data/icar/gdavid/Embryo3D/rpn_match/Samson_t058_a60.npy,/data/icar/gdavid/Embryo3D/rpn_bbox/Samson_t058_a60.npy,Samson_t058_a60,Samson,217.0,29.290265918712983,0.0
/data/icar/gdavid/Embryo3D/images/Samson_t058_a65.tiff,/data/icar/gdavid/Embryo3D/boxes/Samson_t058_a65.dat,/data/icar/gdavid/Embryo3D/minimasks/Samson_t058_a65.pickle,/data/icar/gdavid/Embryo3D/rpn_match/Samson_t058_a65.npy,/data/icar/gdavid/Embryo3D/rpn_bbox/Samson_t058_a65.npy,Samson_t058_a65,Samson,217.0,29.290265918712983,0.0
/data/icar/gdavid/Embryo3D/images/Samson_t058_a62.tiff,/data/icar/gdavid/Embryo3D/boxes/Samson_t058_a62.dat,/data/icar/gdavid/Embryo3D/minimasks/Samson_t058_a62.pickle,/data/icar/gdavid/Embryo3D/rpn_match/Samson_t058_a62.npy,/data/icar/gdavid/Embryo3D/rpn_bbox/Samson_t058_a62.npy,Samson_t058_a62,Samson,217.0,29.290265918712983,0.0
/data/icar/gdavid/Embryo3D/images/Samson_t058_a31.tiff,/data/icar/gdavid/Embryo3D/boxes/Samson_t058_a31.dat,/data/icar/gdavid/Embryo3D/minimasks/Samson_t058_a31.pickle,/data/icar/gdavid/Embryo3D/rpn_match/Samson_t058_a31.npy,/data/icar/gdavid/Embryo3D/rpn_bbox/Samson_t058_a31.npy,Samson_t058_a31,Samson,217.0,29.290265918712983,0.0
/data/icar/gdavid/Embryo3D/images/Samson_t058_a75.tiff,/data/icar/gdavid/Embryo3D/boxes/Samson_t058_a75.dat,/data/icar/gdavid/Embryo3D/minimasks/Samson_t058_a75.pickle,/data/icar/gdavid/Embryo3D/rpn_match/Samson_t058_a75.npy,/data/icar/gdavid/Embryo3D/rpn_bbox/Samson_t058_a75.npy,Samson_t058_a75,Samson,217.0,29.290265918712983,0.0
/data/icar/gdavid/Embryo3D/images/Samson_t058_a42.tiff,/data/icar/gdavid/Embryo3D/boxes/Samson_t058_a42.dat,/data/icar/gdavid/Embryo3D/minimasks/Samson_t058_a42.pickle,/data/icar/gdavid/Embryo3D/rpn_match/Samson_t058_a42.npy,/data/icar/gdavid/Embryo3D/rpn_bbox/Samson_t058_a42.npy,Samson_t058_a42,Samson,217.0,29.290265918712983,0.0
/data/icar/gdavid/Embryo3D/images/Samson_t058_a61.tiff,/data/icar/gdavid/Embryo3D/boxes/Samson_t058_a61.dat,/data/icar/gdavid/Embryo3D/minimasks/Samson_t058_a61.pickle,/data/icar/gdavid/Embryo3D/rpn_match/Samson_t058_a61.npy,/data/icar/gdavid/Embryo3D/rpn_bbox/Samson_t058_a61.npy,Samson_t058_a61,Samson,217.0,29.290265918712983,0.0
/data/icar/gdavid/Embryo3D/images/Samson_t058_a54.tiff,/data/icar/gdavid/Embryo3D/boxes/Samson_t058_a54.dat,/data/icar/gdavid/Embryo3D/minimasks/Samson_t058_a54.pickle,/data/icar/gdavid/Embryo3D/rpn_match/Samson_t058_a54.npy,/data/icar/gdavid/Embryo3D/rpn_bbox/Samson_t058_a54.npy,Samson_t058_a54,Samson,217.0,29.290265918712983,0.0
/data/icar/gdavid/Embryo3D/images/Carl_t057_a30.tiff,/data/icar/gdavid/Embryo3D/boxes/Carl_t057_a30.dat,/data/icar/gdavid/Embryo3D/minimasks/Carl_t057_a30.pickle,/data/icar/gdavid/Embryo3D/rpn_match/Carl_t057_a30.npy,/data/icar/gdavid/Embryo3D/rpn_bbox/Carl_t057_a30.npy,Carl_t057_a30,Carl,161.0,34.21474351058178,0.0
/data/icar/gdavid/Embryo3D/images/Carl_t057_a25.tiff,/data/icar/gdavid/Embryo3D/boxes/Carl_t057_a25.dat,/data/icar/gdavid/Embryo3D/minimasks/Carl_t057_a25.pickle,/data/icar/gdavid/Embryo3D/rpn_match/Carl_t057_a25.npy,/data/icar/gdavid/Embryo3D/rpn_bbox/Carl_t057_a25.npy,Carl_t057_a25,Carl,161.0,34.21474351058178,0.0
/data/icar/gdavid/Embryo3D/images/Carl_t057_a55.tiff,/data/icar/gdavid/Embryo3D/boxes/Carl_t057_a55.dat,/data/icar/gdavid/Embryo3D/minimasks/Carl_t057_a55.pickle,/data/icar/gdavid/Embryo3D/rpn_match/Carl_t057_a55.npy,/data/icar/gdavid/Embryo3D/rpn_bbox/Carl_t057_a55.npy,Carl_t057_a55,Carl,161.0,34.21474351058178,0.0
/data/icar/gdavid/Embryo3D/images/Carl_t057_a14.tiff,/data/icar/gdavid/Embryo3D/boxes/Carl_t057_a14.dat,/data/icar/gdavid/Embryo3D/minimasks/Carl_t057_a14.pickle,/data/icar/gdavid/Embryo3D/rpn_match/Carl_t057_a14.npy,/data/icar/gdavid/Embryo3D/rpn_bbox/Carl_t057_a14.npy,Carl_t057_a14,Carl,161.0,34.21474351058178,0.0
/data/icar/gdavid/Embryo3D/images/Carl_t057_a62.tiff,/data/icar/gdavid/Embryo3D/boxes/Carl_t057_a62.dat,/data/icar/gdavid/Embryo3D/minimasks/Carl_t057_a62.pickle,/data/icar/gdavid/Embryo3D/rpn_match/Carl_t057_a62.npy,/data/icar/gdavid/Embryo3D/rpn_bbox/Carl_t057_a62.npy,Carl_t057_a62,Carl,161.0,34.21474351058178,0.0
